H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
302.553,242.588,541.053,843.606,708.683,115.842,242.34,50.488,530.119,287.779,2.991,2.693,3.212,203,7,Alho
297.102,235.774,539.69,832.703,695.055,122.657,242.34,45.439,530.119,287.779,2.988,2.684,3.212,204,7,Alho
312.093,238.499,545.141,834.066,708.683,122.657,242.34,50.488,535.168,287.779,2.985,2.675,3.212,205,7,Alho
310.73,242.588,513.795,842.243,697.781,119.931,242.34,50.488,535.168,287.779,2.985,2.666,3.209,207,6,Alho
298.465,250.765,532.875,839.517,719.586,113.117,247.389,50.488,535.168,287.779,2.982,2.66,3.209,208,6,Alho
303.916,250.765,523.335,846.332,697.781,122.657,247.389,50.488,530.119,287.779,2.979,2.651,3.209,211,2,Alho
301.19,254.853,530.15,838.154,720.949,114.48,252.438,50.488,535.168,287.779,2.979,2.645,3.209,214,2,Alho
310.73,243.951,549.23,847.694,685.515,118.568,252.438,45.439,530.119,287.779,2.979,2.636,3.209,218,5,Alho
309.368,253.491,516.521,843.606,697.781,111.754,252.438,50.488,530.119,287.779,2.979,2.633,3.209,222,5,Alho
298.465,250.765,528.787,836.792,722.312,118.568,257.487,50.488,530.119,287.779,2.979,2.624,3.206,226,5,Alho
313.456,235.774,512.433,832.703,710.046,128.108,257.487,50.488,535.168,287.779,2.979,2.621,3.206,230,4,Alho
302.553,239.862,549.23,840.88,715.498,114.48,262.535,50.488,535.168,287.779,2.979,2.618,3.206,234,4,Alho
302.553,241.225,517.884,842.243,714.135,124.02,262.535,50.488,535.168,287.779,2.979,2.612,3.206,238,1,Alho
301.19,249.402,536.964,836.792,684.152,119.931,262.535,45.439,530.119,287.779,2.976,2.609,3.206,242,1,Alho
309.368,243.951,530.15,834.066,719.586,118.568,267.584,50.488,535.168,287.779,2.979,2.609,3.206,247,3,Alho
313.456,245.313,523.335,839.517,682.789,121.294,267.584,50.488,535.168,287.779,2.976,2.603,3.206,251,3,Alho
297.102,258.942,547.867,843.606,719.586,115.842,267.584,45.439,530.119,287.779,2.976,2.6,3.206,255,3,Alho
260.305,239.862,547.867,836.792,699.143,124.02,267.584,50.488,530.119,287.779,2.979,2.6,3.206,260,3,Alho
306.642,250.765,520.61,842.243,705.958,119.931,272.633,50.488,530.119,287.779,2.979,2.6,3.206,264,2,Alho
303.916,241.225,550.593,835.429,705.958,128.108,272.633,50.488,525.071,287.779,2.976,2.597,3.206,269,2,Alho
293.013,245.313,557.407,834.066,712.772,119.931,272.633,50.488,530.119,287.779,2.979,2.597,3.206,274,6,Alho
305.279,243.951,547.867,838.154,701.869,126.745,277.682,50.488,535.168,287.779,2.976,2.594,3.206,278,6,Alho
314.819,245.313,553.318,838.154,711.409,125.382,272.633,50.488,535.168,287.779,2.976,2.594,3.206,282,1,Alho
317.545,257.579,545.141,842.243,710.046,121.294,277.682,50.488,535.168,287.779,2.976,2.591,3.206,287,1,Alho
306.642,243.951,520.61,850.42,700.506,114.48,277.682,50.488,530.119,287.779,2.976,2.591,3.203,291,1,Alho
329.81,248.039,517.884,846.332,701.869,118.568,277.682,50.488,530.119,287.779,2.973,2.588,3.203,295,1,Alho
310.73,256.216,557.407,849.057,703.232,117.205,282.73,50.488,535.168,287.779,2.973,2.585,3.203,299,1,Alho
318.908,256.216,534.238,844.969,700.506,122.657,282.73,45.439,530.119,287.779,2.976,2.588,3.203,304,4,Alho
312.093,256.216,523.335,843.606,693.692,125.382,287.779,50.488,530.119,287.779,2.976,2.585,3.203,309,4,Alho
314.819,252.128,534.238,842.243,726.401,115.842,287.779,50.488,530.119,287.779,2.973,2.585,3.203,313,7,Alho
312.093,254.853,551.955,842.243,748.206,114.48,287.779,50.488,530.119,287.779,2.973,2.582,3.203,318,7,Alho
314.819,248.039,530.15,835.429,697.781,114.48,287.779,50.488,530.119,287.779,2.976,2.582,3.203,323,7,Alho
316.182,249.402,530.15,850.42,704.595,117.205,292.828,50.488,530.119,287.779,2.973,2.582,3.203,327,7,Alho
318.908,243.951,523.335,842.243,689.604,119.931,297.877,45.439,530.119,287.779,2.976,2.579,3.203,332,6,Alho
308.005,248.039,558.77,842.243,723.675,117.205,297.877,50.488,535.168,287.779,2.976,2.579,3.203,337,2,Alho
309.368,245.313,557.407,843.606,705.958,126.745,297.877,50.488,530.119,287.779,2.973,2.576,3.203,341,2,Alho
316.182,246.676,528.787,849.057,715.498,122.657,297.877,45.439,530.119,287.779,2.973,2.573,3.203,347,5,Alho
320.27,260.305,528.787,851.783,714.135,118.568,302.925,50.488,530.119,287.779,2.973,2.576,3.203,351,5,Alho
318.908,258.942,561.495,849.057,712.772,124.02,307.974,50.488,535.168,287.779,2.973,2.576,3.203,355,5,Alho
314.819,252.128,546.504,859.96,684.152,125.382,302.925,50.488,530.119,287.779,2.973,2.576,3.203,360,5,Alho
308.005,246.676,558.77,846.332,711.409,125.382,307.974,50.488,530.119,287.779,2.973,2.576,3.203,366,4,Alho
314.819,254.853,524.698,851.783,695.055,114.48,302.925,50.488,530.119,287.779,2.976,2.576,3.203,370,4,Alho
314.819,246.676,550.593,844.969,699.143,128.108,307.974,45.439,530.119,287.779,2.973,2.573,3.203,374,1,Alho
316.182,250.765,561.495,844.969,720.949,125.382,307.974,45.439,535.168,287.779,2.976,2.573,3.203,380,1,Alho
321.633,263.031,553.318,840.88,710.046,126.745,313.023,50.488,530.119,287.779,2.973,2.573,3.203,384,3,Alho
324.359,256.216,530.15,844.969,689.604,114.48,313.023,50.488,530.119,287.779,2.976,2.573,3.203,388,3,Alho
314.819,261.668,542.415,846.332,727.763,115.842,313.023,45.439,530.119,287.779,2.973,2.573,3.203,393,3,Alho
318.908,263.031,562.858,847.694,748.206,128.108,318.072,50.488,530.119,287.779,2.973,2.573,3.203,398,2,Alho
314.819,250.765,531.513,844.969,705.958,121.294,318.072,50.488,535.168,287.779,2.976,2.573,3.203,402,2,Alho
312.093,257.579,562.858,846.332,723.675,126.745,318.072,50.488,530.119,287.779,2.973,2.57,3.203,407,6,Alho
318.908,261.668,550.593,855.872,730.489,118.568,328.169,45.439,530.119,287.779,2.973,2.57,3.203,411,6,Alho
316.182,252.128,562.858,843.606,719.586,119.931,328.169,50.488,535.168,287.779,2.973,2.57,3.203,416,1,Alho
320.27,252.128,546.504,849.057,688.241,124.02,328.169,50.488,530.119,287.779,2.973,2.567,3.203,420,1,Alho
318.908,253.491,557.407,846.332,730.489,117.205,323.12,50.488,530.119,287.779,2.973,2.57,3.203,425,1,Alho
324.359,260.305,528.787,854.509,697.781,118.568,328.169,45.439,535.168,287.779,2.973,2.567,3.203,430,1,Alho
321.633,261.668,562.858,851.783,723.675,124.02,328.169,45.439,535.168,287.779,2.976,2.57,3.203,434,1,Alho
313.456,257.579,536.964,855.872,718.223,115.842,328.169,50.488,535.168,287.779,2.973,2.567,3.203,439,1,Alho
321.633,253.491,560.133,849.057,697.781,124.02,333.218,45.439,535.168,287.779,2.973,2.567,3.203,443,4,Alho
322.996,260.305,530.15,849.057,704.595,117.205,333.218,50.488,530.119,287.779,2.976,2.567,3.203,448,4,Alho
320.27,261.668,546.504,838.154,722.312,122.657,338.267,50.488,530.119,287.779,2.973,2.564,3.203,453,7,Alho
317.545,257.579,581.938,855.872,707.321,122.657,338.267,50.488,530.119,287.779,2.973,2.564,3.203,457,7,Alho
333.899,257.579,560.133,853.146,701.869,125.382,338.267,50.488,530.119,287.779,2.97,2.564,3.203,461,7,Alho
335.262,258.942,543.778,846.332,726.401,119.931,338.267,50.488,530.119,287.779,2.97,2.561,3.203,465,6,Alho
329.81,256.216,543.778,858.597,690.966,126.745,338.267,50.488,525.071,287.779,2.973,2.564,3.203,469,6,Alho
329.81,256.216,562.858,855.872,689.604,125.382,343.315,45.439,530.119,287.779,2.973,2.564,3.203,473,2,Alho
320.27,253.491,568.31,847.694,726.401,115.842,343.315,50.488,530.119,287.779,2.973,2.561,3.203,477,2,Alho
318.908,265.756,546.504,858.597,733.215,115.842,348.364,45.439,530.119,287.779,2.973,2.564,3.203,481,5,Alho
327.085,256.216,572.398,849.057,693.692,122.657,348.364,50.488,535.168,287.779,2.97,2.561,3.203,485,5,Alho
320.27,264.393,584.664,850.42,731.852,121.294,348.364,50.488,530.119,287.779,2.97,2.558,3.203,488,5,Alho
322.996,256.216,562.858,862.686,704.595,115.842,348.364,45.439,530.119,287.779,2.973,2.558,3.203,493,5,Alho
322.996,245.313,560.133,853.146,729.126,125.382,348.364,50.488,530.119,287.779,2.973,2.558,3.203,497,4,Alho
333.899,258.942,541.053,857.234,715.498,121.294,348.364,50.488,530.119,287.779,2.97,2.558,3.203,500,1,Alho
325.722,265.756,553.318,854.509,716.861,118.568,353.413,50.488,535.168,287.779,2.97,2.555,3.2,504,1,Alho
331.173,265.756,541.053,854.509,716.861,113.117,353.413,50.488,535.168,287.779,2.97,2.555,3.2,507,3,Alho
328.448,263.031,560.133,853.146,703.232,124.02,358.462,50.488,535.168,287.779,2.967,2.552,3.2,511,3,Alho
318.908,252.128,571.035,849.057,716.861,124.02,358.462,50.488,530.119,287.779,2.97,2.555,3.203,514,3,Alho
332.536,265.756,560.133,855.872,711.409,128.108,358.462,45.439,530.119,287.779,2.97,2.552,3.2,517,3,Alho
322.996,257.579,576.487,846.332,726.401,124.02,358.462,50.488,535.168,287.779,2.97,2.555,3.203,520,2,Alho
327.085,257.579,566.947,859.96,711.409,117.205,363.51,50.488,535.168,287.779,2.973,2.552,3.2,523,2,Alho
322.996,260.305,535.601,859.96,697.781,121.294,363.51,50.488,535.168,287.779,2.967,2.549,3.203,527,6,Alho
333.899,256.216,532.875,859.96,697.781,122.657,363.51,50.488,530.119,287.779,2.967,2.549,3.2,530,6,Alho
322.996,267.119,573.761,850.42,727.763,122.657,363.51,50.488,530.119,287.779,2.97,2.549,3.2,533,1,Alho
331.173,269.845,541.053,853.146,705.958,115.842,363.51,50.488,530.119,287.779,2.97,2.549,3.2,537,1,Alho
327.085,263.031,573.761,846.332,729.126,122.657,363.51,45.439,535.168,287.779,2.97,2.549,3.2,540,1,Alho
343.439,261.668,538.327,857.234,699.143,125.382,368.559,50.488,530.119,287.779,2.967,2.547,3.2,543,1,Alho
333.899,267.119,568.31,855.872,735.941,124.02,373.608,50.488,530.119,287.779,2.97,2.547,3.2,547,1,Alho
329.81,272.571,572.398,857.234,734.578,125.382,373.608,50.488,535.168,287.779,2.97,2.547,3.2,549,4,Alho
327.085,264.393,573.761,864.049,730.489,115.842,373.608,50.488,535.168,287.779,2.967,2.544,3.2,552,4,Alho
329.81,257.579,564.221,853.146,734.578,125.382,373.608,50.488,535.168,287.779,2.97,2.544,3.2,556,7,Alho
329.81,258.942,572.398,851.783,731.852,117.205,378.657,50.488,535.168,287.779,2.967,2.544,3.2,559,7,Alho
318.908,260.305,541.053,855.872,720.949,115.842,373.608,45.439,535.168,287.779,2.967,2.541,3.2,561,7,Alho
339.35,260.305,560.133,809.535,700.506,115.842,378.657,50.488,535.168,287.779,2.97,2.541,3.2,565,7,Alho
339.35,263.031,549.23,861.323,697.781,125.382,378.657,50.488,535.168,287.779,2.97,2.541,3.2,568,6,Alho
290.288,261.668,556.044,853.146,700.506,119.931,383.705,50.488,530.119,287.779,2.967,2.541,3.2,570,6,Alho
335.262,261.668,561.495,857.234,735.941,126.745,383.705,50.488,535.168,287.779,2.967,2.538,3.2,573,2,Alho
339.35,263.031,538.327,862.686,703.232,122.657,383.705,45.439,530.119,287.779,2.967,2.538,3.2,576,5,Alho
91.311,265.756,557.407,861.323,737.303,128.108,383.705,50.488,535.168,287.779,2.967,2.535,3.2,578,5,Alho
329.81,261.668,491.99,853.146,701.869,129.471,383.705,50.488,530.119,287.779,2.967,2.538,3.2,580,5,Alho
322.996,260.305,579.212,851.783,726.401,129.471,383.705,45.439,530.119,287.779,2.967,2.538,3.2,583,5,Alho
331.173,264.393,569.672,838.154,718.223,119.931,388.754,45.439,535.168,287.779,2.967,2.535,3.2,585,4,Alho
