 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,Sampe/Class
6:06:16 PM,27-05-23,27.3,30,0.78,0.54,0.34,2.05,3.76,3.32,0.87,4,3.23,0.96,10.29,20.63,2.39,4.05,56.03,2.03,63.75,Coffee 1
6:06:17 PM,27-05-23,27.3,30,0.78,0.54,0.36,2.04,3.71,3.67,0.82,3.84,3.44,0.96,10,21.31,2.42,4,55.64,2.09,64.4,Coffee 1
6:06:17 PM,27-05-23,27.3,30,0.78,0.54,0.35,2.04,3.73,4.08,0.83,3.68,3.81,1,9.55,23,2.43,3.89,57.52,2.08,61.36,Coffee 1
6:06:18 PM,27-05-23,27.3,30,0.78,0.54,0.36,2.06,3.71,3.11,0.76,4.1,3.42,0.97,10.03,21.78,2.38,3.97,57.04,2.09,62.11,Coffee 1
6:06:18 PM,27-05-23,27.3,30,0.78,0.54,0.38,2.08,3.65,4.15,0.81,3.65,3.79,1.03,9.58,22.39,2.39,3.93,57.28,2.12,61.73,Coffee 1
6:06:19 PM,27-05-23,27.3,30,0.78,0.54,0.38,2.06,3.65,3.81,0.81,3.78,4.13,1.02,9.22,22.02,2.4,3.95,56.73,2.13,62.61,Coffee 1
6:06:19 PM,27-05-23,27.3,30,0.78,0.54,0.37,2.09,3.68,3.87,0.79,3.76,3.76,0.99,9.61,21.43,2.42,3.99,56.65,2.08,62.73,Coffee 1
6:06:20 PM,27-05-23,27.3,30,0.78,0.54,0.4,2.12,3.6,3.29,0.83,4.01,3.64,0.99,9.76,21.66,2.38,3.97,56.81,2.08,62.48,Coffee 1
6:06:20 PM,27-05-23,27.3,30,0.78,0.54,0.41,2.13,3.57,4.56,0.87,3.52,4.7,1.06,8.69,20.4,2.42,4.06,57.28,2.09,61.73,Coffee 1
6:06:21 PM,27-05-23,27.3,30,0.78,0.54,0.36,2.13,3.71,4.84,0.83,3.43,4.5,1.06,8.87,21.9,2.43,3.96,57.83,2.1,60.87,Coffee 1
6:06:22 PM,27-05-23,27.3,30,0.78,0.54,0.42,2.09,3.53,4.45,0.82,3.55,4.05,0.92,9.3,20.51,2.38,4.05,57.52,2.13,61.36,Coffee 1
6:06:22 PM,27-05-23,27.3,30,0.78,0.54,0.42,2.03,3.55,4.49,0.88,3.54,4.3,1.03,9.05,20.51,2.37,4.05,56.57,2.09,62.86,Coffee 1
6:06:23 PM,27-05-23,27.3,30,0.78,0.54,0.37,2.1,3.68,4.12,0.8,3.66,4.1,1.01,9.24,20.29,2.33,4.07,56.34,2.02,63.24,Coffee 1
6:06:23 PM,27-05-23,27.3,30,0.78,0.54,0.41,2.11,3.57,4.6,0.87,3.5,4.05,1.05,9.3,20.74,2.36,4.04,56.73,2.08,62.61,Coffee 1
6:06:24 PM,27-05-23,27.3,30,0.78,0.55,0.4,2.09,3.6,4.19,0.84,3.64,4.32,1.05,9.03,21.08,2.36,4.01,56.18,2.1,63.49,Coffee 1
