H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
376.147,321.633,373.422,681.426,827.252,24.531,464.486,45.439,520.022,287.779,2904.747,2800.26,3215.224,490,0,Compostagem
372.059,381.599,367.97,669.161,838.154,25.894,464.486,45.439,520.022,287.779,2904.747,2803.245,3215.224,489,0,Compostagem
377.51,332.536,339.35,670.524,804.083,36.797,464.486,45.439,525.071,287.779,2904.747,2800.26,3215.224,489,0,Compostagem
367.97,325.722,363.882,675.975,820.437,31.346,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,488,0,Compostagem
378.873,332.536,344.802,674.612,864.049,25.894,464.486,45.439,514.973,287.779,2904.747,2800.26,3218.209,488,0,Compostagem
361.156,325.722,316.182,673.249,806.809,34.071,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,487,0,Compostagem
367.97,332.536,374.785,670.524,831.34,28.62,464.486,45.439,530.119,287.779,2904.747,2800.26,3218.209,486,0,Compostagem
377.51,324.359,357.067,680.064,813.623,35.434,464.486,45.439,525.071,287.779,2904.747,2800.26,3215.224,486,0,Compostagem
377.51,322.996,298.465,675.975,832.703,32.708,464.486,45.439,525.071,287.779,2904.747,2800.26,3215.224,485,0,Compostagem
373.422,329.81,372.059,681.426,842.243,27.257,469.534,50.488,525.071,287.779,2904.747,2800.26,3215.224,485,0,Compostagem
378.873,340.713,336.625,675.975,805.446,0.0,464.486,45.439,525.071,287.779,2904.747,2797.274,3218.209,484,0,Compostagem
363.882,335.262,369.333,680.064,801.357,31.346,464.486,45.439,525.071,287.779,2904.747,2800.26,3215.224,483,0,Compostagem
382.962,335.262,354.342,680.064,844.969,35.434,464.486,50.488,520.022,287.779,2904.747,2800.26,3215.224,483,0,Compostagem
366.607,332.536,366.607,675.975,828.614,34.071,464.486,50.488,525.071,287.779,2901.762,2800.26,3215.224,483,0,Compostagem
372.059,325.722,372.059,673.249,829.977,38.16,464.486,45.439,514.973,287.779,2904.747,2800.26,3215.224,482,0,Compostagem
372.059,329.81,366.607,669.161,823.163,36.797,464.486,45.439,530.119,287.779,2901.762,2800.26,3215.224,482,0,Compostagem
369.333,325.722,352.979,670.524,829.977,31.346,464.486,50.488,520.022,287.779,2904.747,2800.26,3215.224,481,0,Compostagem
373.422,329.81,385.687,678.701,820.437,38.16,464.486,45.439,520.022,287.779,2904.747,2797.274,3215.224,481,0,Compostagem
370.696,327.085,340.713,682.789,823.163,31.346,464.486,50.488,520.022,287.779,2904.747,2800.26,3218.209,480,0,Compostagem
372.059,335.262,340.713,681.426,802.72,36.797,464.486,45.439,525.071,287.779,2904.747,2800.26,3215.224,480,0,Compostagem
378.873,327.085,337.987,680.064,808.172,36.797,464.486,45.439,525.071,287.779,2904.747,2800.26,3218.209,479,0,Compostagem
372.059,318.908,410.219,688.241,832.703,28.62,464.486,45.439,525.071,287.779,2904.747,2800.26,3215.224,479,0,Compostagem
373.422,324.359,373.422,677.338,827.252,35.434,464.486,45.439,520.022,287.779,2904.747,2797.274,3215.224,479,0,Compostagem
370.696,324.359,348.89,673.249,838.154,35.434,464.486,45.439,525.071,287.779,2904.747,2797.274,3215.224,478,0,Compostagem
384.324,328.448,340.713,673.249,824.526,34.071,464.486,50.488,525.071,287.779,2904.747,2800.26,3215.224,478,0,Compostagem
363.882,332.536,342.076,673.249,835.429,35.434,464.486,45.439,520.022,287.779,2904.747,2797.274,3215.224,478,0,Compostagem
370.696,329.81,363.882,678.701,817.712,29.983,464.486,50.488,520.022,287.779,2904.747,2797.274,3215.224,477,0,Compostagem
367.97,320.27,346.165,680.064,797.269,25.894,464.486,45.439,520.022,287.779,2901.762,2797.274,3215.224,477,0,Compostagem
370.696,329.81,336.625,680.064,802.72,27.257,469.534,45.439,520.022,287.779,2904.747,2797.274,3215.224,476,0,Compostagem
377.51,335.262,354.342,678.701,797.269,31.346,464.486,45.439,520.022,287.779,2904.747,2797.274,3215.224,476,0,Compostagem
373.422,328.448,367.97,678.701,823.163,50.426,464.486,50.488,520.022,287.779,2901.762,2797.274,3218.209,475,0,Compostagem
373.422,335.262,350.253,682.789,835.429,27.257,464.486,45.439,525.071,287.779,2904.747,2797.274,3215.224,474,0,Compostagem
370.696,322.996,381.599,677.338,831.34,38.16,469.534,50.488,550.314,287.779,2904.747,2797.274,3215.224,474,0,Compostagem
365.245,336.625,357.067,675.975,839.517,20.443,459.437,45.439,520.022,287.779,2904.747,2797.274,3215.224,473,0,Compostagem
367.97,324.359,363.882,670.524,817.712,42.248,459.437,45.439,525.071,287.779,2904.747,2797.274,3215.224,473,0,Compostagem
369.333,328.448,365.245,669.161,836.792,43.611,464.486,45.439,525.071,287.779,2901.762,2797.274,3215.224,472,0,Compostagem
382.962,321.633,355.705,675.975,806.809,38.16,459.437,50.488,520.022,287.779,2904.747,2797.274,3215.224,472,0,Compostagem
380.236,324.359,362.519,678.701,797.269,34.071,459.437,45.439,525.071,287.779,2901.762,2797.274,3215.224,471,0,Compostagem
380.236,325.722,362.519,667.798,816.349,32.708,464.486,50.488,520.022,287.779,2904.747,2797.274,3215.224,471,0,Compostagem
376.147,335.262,362.519,689.604,821.8,25.894,464.486,45.439,514.973,287.779,2901.762,2794.289,3215.224,471,0,Compostagem
367.97,333.899,337.987,674.612,828.614,36.797,464.486,45.439,520.022,287.779,2904.747,2797.274,3215.224,470,0,Compostagem
366.607,331.173,370.696,674.612,834.066,34.071,464.486,45.439,525.071,287.779,2901.762,2794.289,3215.224,470,0,Compostagem
374.785,324.359,367.97,671.886,810.897,128.108,464.486,45.439,520.022,287.779,2904.747,2797.274,3215.224,470,0,Compostagem
372.059,328.448,333.899,680.064,809.535,25.894,464.486,45.439,525.071,287.779,2904.747,2797.274,3215.224,470,0,Compostagem
377.51,339.35,331.173,681.426,804.083,31.346,464.486,45.439,520.022,287.779,2901.762,2797.274,3215.224,469,0,Compostagem
376.147,332.536,367.97,670.524,829.977,38.16,464.486,45.439,525.071,287.779,2904.747,2794.289,3218.209,468,0,Compostagem
378.873,321.633,370.696,677.338,808.172,40.886,464.486,45.439,520.022,287.779,2904.747,2794.289,3215.224,468,0,Compostagem
376.147,320.27,348.89,675.975,798.632,35.434,459.437,45.439,530.119,287.779,2904.747,2794.289,3215.224,467,0,Compostagem
367.97,333.899,363.882,673.249,835.429,38.16,459.437,45.439,514.973,287.779,2904.747,2797.274,3215.224,467,0,Compostagem
