H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
400.679,333.899,359.793,665.072,813.623,14.991,419.047,85.829,691.68,287.779,2916.688,2806.23,3206.268,316,1,Racao
407.493,329.81,362.519,685.515,825.889,9.54,419.047,85.829,681.582,287.779,2913.703,2806.23,3206.268,316,1,Racao
397.953,314.819,354.342,667.798,816.349,21.806,413.998,90.878,691.68,287.779,2916.688,2809.216,3206.268,316,4,Racao
408.856,332.536,343.439,690.966,795.906,9.54,413.998,85.829,686.631,287.779,2916.688,2806.23,3206.268,316,4,Racao
402.042,327.085,322.996,669.161,805.446,21.806,419.047,85.829,671.485,287.779,2913.703,2806.23,3206.268,316,7,Racao
410.219,331.173,327.085,667.798,829.977,10.903,413.998,90.878,686.631,287.779,2916.688,2806.23,3206.268,317,7,Racao
402.042,331.173,351.616,667.798,825.889,4.089,419.047,90.878,681.582,287.779,2916.688,2806.23,3206.268,317,7,Racao
400.679,336.625,352.979,662.346,814.986,17.717,413.998,90.878,681.582,287.779,2913.703,2803.245,3206.268,317,6,Racao
400.679,333.899,344.802,680.064,813.623,13.629,413.998,85.829,681.582,287.779,2913.703,2806.23,3206.268,317,6,Racao
403.404,328.448,321.633,659.621,805.446,6.814,419.047,85.829,691.68,287.779,2913.703,2803.245,3206.268,317,2,Racao
400.679,331.173,346.165,660.984,790.455,20.443,419.047,90.878,681.582,287.779,2913.703,2803.245,3206.268,317,2,Racao
412.944,339.35,327.085,662.346,825.889,6.814,413.998,85.829,681.582,287.779,2916.688,2806.23,3206.268,318,5,Racao
408.856,331.173,316.182,667.798,809.535,10.903,419.047,85.829,681.582,287.779,2916.688,2806.23,3206.268,318,5,Racao
408.856,324.359,316.182,667.798,813.623,5.451,413.998,85.829,676.533,287.779,2913.703,2803.245,3206.268,318,5,Racao
399.316,329.81,328.448,635.089,820.437,9.54,419.047,90.878,671.485,287.779,2904.747,2797.274,3206.268,317,5,Racao
404.767,325.722,324.359,658.258,820.437,14.991,419.047,85.829,666.436,287.779,2898.776,2782.348,3206.268,317,4,Racao
410.219,337.987,342.076,666.435,827.252,17.717,419.047,85.829,661.387,287.779,2889.82,2767.421,3203.282,316,4,Racao
410.219,333.899,335.262,667.798,829.977,13.629,424.096,85.829,651.29,287.779,2883.85,2743.538,3200.297,313,1,Racao
414.307,318.908,366.607,669.161,814.986,17.717,429.144,85.829,646.241,287.779,2874.894,2716.67,3194.326,300,9,Racao
414.307,331.173,358.43,659.621,795.906,8.177,429.144,90.878,636.143,287.779,2874.894,2695.772,3191.341,277,13,Racao
414.307,325.722,355.705,675.975,831.34,16.354,434.193,90.878,646.241,287.779,2868.923,2668.904,3188.355,239,13,Racao
423.847,333.899,359.793,660.984,808.172,12.266,434.193,90.878,631.095,287.779,2865.938,2648.007,3185.37,186,13,Racao
429.299,333.899,355.705,658.258,806.809,10.903,434.193,90.878,636.143,287.779,2862.952,2627.109,3182.385,105,13,Racao
434.75,336.625,337.987,658.258,801.357,13.629,439.242,90.878,661.387,287.779,2862.952,2609.197,3179.399,26,10,Racao
432.024,325.722,382.962,684.152,835.429,19.08,439.242,85.829,641.192,287.779,2859.967,2588.3,3176.414,2,9,Racao
429.299,337.987,358.43,658.258,799.995,19.08,444.291,90.878,636.143,287.779,2859.967,2573.373,3173.429,2,8,Racao
441.564,331.173,363.882,658.258,819.075,9.54,444.291,90.878,641.192,287.779,2853.996,2558.446,3173.429,6,8,Racao
444.29,325.722,357.067,658.258,835.429,14.991,449.339,90.878,641.192,287.779,2853.996,2546.505,3170.443,6,8,Racao
437.476,335.262,348.89,667.798,804.083,16.354,444.291,85.829,641.192,287.779,2851.011,2531.578,3170.443,1,8,Racao
436.113,335.262,332.536,662.346,806.809,13.629,454.388,90.878,641.192,287.779,2851.011,2522.622,3167.458,1,9,Racao
440.201,336.625,328.448,656.895,817.712,10.903,454.388,90.878,641.192,287.779,2848.025,2510.681,3164.473,1,10,Racao
447.016,329.81,348.89,658.258,806.809,10.903,454.388,90.878,646.241,287.779,2848.025,2498.739,3164.473,1,9,Racao
441.564,328.448,365.245,667.798,831.34,16.354,454.388,85.829,646.241,287.779,2845.04,2489.783,3161.487,1,8,Racao
447.016,328.448,362.519,667.798,802.72,16.354,459.437,90.878,641.192,287.779,2842.055,2480.827,3161.487,1,8,Racao
447.016,333.899,363.882,658.258,787.729,17.717,464.486,90.878,646.241,287.779,2842.055,2468.886,3158.502,4,8,Racao
453.83,332.536,347.527,667.798,843.606,13.629,464.486,90.878,646.241,287.779,2839.069,2459.93,3158.502,4,9,Racao
445.653,331.173,329.81,667.798,844.969,13.629,464.486,85.829,651.29,287.779,2839.069,2450.974,3158.502,7,9,Racao
448.379,327.085,331.173,666.435,844.969,6.814,469.534,90.878,656.338,287.779,2836.084,2442.018,3155.517,7,8,Racao
449.741,329.81,344.802,663.709,846.332,17.717,469.534,90.878,651.29,287.779,2836.084,2436.047,3155.517,7,8,Racao
449.741,328.448,332.536,670.524,850.42,19.08,469.534,85.829,651.29,287.779,2833.099,2427.091,3152.531,7,8,Racao
447.016,316.182,365.245,669.161,839.517,10.903,479.632,90.878,651.29,287.779,2833.099,2421.12,3152.531,6,9,Racao
451.104,337.987,369.333,665.072,838.154,19.08,474.583,90.878,651.29,287.779,2833.099,2412.164,3152.531,2,9,Racao
452.467,324.359,329.81,658.258,828.614,9.54,474.583,90.878,656.338,287.779,2830.113,2406.193,3149.546,2,9,Racao
453.83,329.81,331.173,658.258,850.42,14.991,479.632,90.878,651.29,287.779,2830.113,2400.223,3149.546,5,10,Racao
456.556,327.085,331.173,662.346,827.252,9.54,484.681,85.829,656.338,287.779,2827.128,2391.267,3149.546,5,8,Racao
455.193,332.536,359.793,658.258,813.623,8.177,484.681,85.829,656.338,287.779,2824.143,2385.296,3146.561,5,8,Racao
460.644,335.262,367.97,665.072,817.712,14.991,489.729,90.878,661.387,287.779,2824.143,2379.325,3146.561,5,9,Racao
460.644,333.899,359.793,660.984,816.349,8.177,489.729,90.878,661.387,287.779,2824.143,2373.354,3146.561,4,8,Racao
459.281,333.899,342.076,658.258,854.509,19.08,489.729,90.878,661.387,287.779,2821.157,2367.384,3143.575,4,3,Racao
453.83,331.173,380.236,681.426,861.323,9.54,489.729,85.829,666.436,287.779,2818.172,2361.413,3143.575,1,3,Racao
452.467,328.448,366.607,659.621,832.703,17.717,494.778,90.878,661.387,287.779,2818.172,2355.442,3143.575,1,9,Racao
463.37,331.173,355.705,666.435,853.146,31.346,494.778,90.878,666.436,287.779,2818.172,2349.472,3140.59,3,3,Racao
462.007,335.262,352.979,663.709,821.8,6.814,499.827,90.878,671.485,287.779,2818.172,2346.486,3140.59,3,8,Racao
453.83,321.633,348.89,658.258,855.872,6.814,504.876,85.829,671.485,287.779,2815.187,2340.516,3140.59,3,2,Racao
459.281,322.996,352.979,663.709,831.34,9.54,504.876,90.878,671.485,287.779,2815.187,2337.53,3140.59,3,6,Racao
